iteration,problem instance,problem seed,algorithm seed,starting fitness,ensemble number,fitness,number of runs,heuristics
0,2,1000,1000,0.11365796923076843,0,0.05401733333333325,8,"[211, 82, 302, 152, 235]"
1,2,1001,1001,0.08843871874999987,0,0.05310853968253959,10,"[211, 82, 302, 152, 235]"
2,2,1002,1002,0.17761897058823517,0,0.0581292380952384,8,"[211, 82, 302, 152, 235]"
3,2,1003,1003,0.11231292307692342,0,0.08193003125000031,5,"[211, 82, 302, 152, 235]"
4,2,1004,1004,0.11176975384615362,0,0.05675200000000025,11,"[211, 82, 302, 152, 235]"
5,2,1005,1005,0.15742808955223886,0,0.0618229206349209,8,"[211, 82, 302, 152, 235]"
6,2,1006,1006,0.11297704615384607,0,0.06098279365079362,3,"[211, 82, 302, 152, 235]"
7,2,1007,1007,0.11202252307692318,0,0.053101492063491795,12,"[211, 82, 302, 152, 235]"
8,2,1008,1008,0.11442264615384623,0,0.05778412698412716,10,"[211, 82, 302, 152, 235]"
9,2,1009,1009,0.08994574999999994,0,0.05812203174603192,7,"[211, 82, 302, 152, 235]"
10,2,1010,1010,0.13401942424242386,0,0.05752273015872977,14,"[211, 82, 302, 152, 235]"
11,2,1011,1011,0.1138898461538459,0,0.05730200000000052,13,"[211, 82, 302, 152, 235]"
12,2,1012,1012,0.13545899999999989,0,0.05328822222222185,13,"[211, 82, 302, 152, 235]"
13,2,1013,1013,0.13531884848484832,0,0.03227109677419404,12,"[211, 82, 302, 152, 235]"
14,2,1014,1014,0.11138947692307666,0,0.053168349206349275,10,"[211, 82, 302, 152, 235]"
15,2,1015,1015,0.11134972307692304,0,0.05383355555555569,7,"[211, 82, 302, 152, 235]"
16,2,1016,1016,0.13725715151515128,0,0.08250834374999994,6,"[211, 82, 302, 152, 235]"
17,2,1017,1017,0.11401092307692262,0,0.032814677419354954,11,"[211, 82, 302, 152, 235]"
18,2,1018,1018,0.11377381538461517,0,0.05940977777777812,6,"[211, 82, 302, 152, 235]"
19,2,1019,1019,0.15414337313432824,0,0.10808947692307669,3,"[211, 82, 302, 152, 235]"
20,2,1020,1020,0.1363645151515147,0,0.08538059374999973,6,"[211, 82, 302, 152, 235]"
21,2,1021,1021,0.08986859374999978,0,0.06043688888888876,6,"[211, 82, 302, 152, 235]"
22,2,1022,1022,0.15956107462686564,0,0.059223809523809456,13,"[211, 82, 302, 152, 235]"
23,2,1023,1023,0.19814533333333317,0,0.061727587301587006,10,"[211, 82, 302, 152, 235]"
24,2,1024,1024,0.13674621212121207,0,0.06100587301587268,13,"[211, 82, 302, 152, 235]"
25,2,1025,1025,0.11545513846153843,0,0.053678253968253764,11,"[211, 82, 302, 152, 235]"
26,2,1026,1026,0.13508706060606068,0,0.05366885714285685,12,"[211, 82, 302, 152, 235]"
27,2,1027,1027,0.11080495384615374,0,0.060417142857142836,6,"[211, 82, 302, 152, 235]"
28,2,1028,1028,0.11426824615384579,0,0.0816203437499996,5,"[211, 82, 302, 152, 235]"
29,2,1029,1029,0.11467858461538472,0,0.05364552380952381,10,"[211, 82, 302, 152, 235]"
30,2,1030,1030,0.17919191176470572,0,0.05321193650793665,10,"[211, 82, 302, 152, 235]"
31,2,1031,1031,0.11177556923076903,0,0.05756780952380991,9,"[211, 82, 302, 152, 235]"
32,2,1032,1032,0.08768490624999992,0,0.058120285714285846,6,"[211, 82, 302, 152, 235]"
33,2,1033,1033,0.1353638484848484,0,0.05692619047619063,11,"[211, 82, 302, 152, 235]"
34,2,1034,1034,0.1352625454545454,0,0.08496328124999997,6,"[211, 82, 302, 152, 235]"
35,2,1035,1035,0.1338597272727271,0,0.052885809523809724,10,"[211, 82, 302, 152, 235]"
36,2,1036,1036,0.11280535384615342,0,0.057598634920634884,10,"[211, 82, 302, 152, 235]"
37,2,1037,1037,0.15798797014925337,0,0.08653040624999975,6,"[211, 82, 302, 152, 235]"
38,2,1038,1038,0.11413692307692325,0,0.0539160317460321,13,"[211, 82, 302, 152, 235]"
39,2,1039,1039,0.08985743750000008,0,0.057053746031746067,6,"[211, 82, 302, 152, 235]"
40,2,1040,1040,0.1134861538461539,0,0.057073619047619095,9,"[211, 82, 302, 152, 235]"
41,2,1041,1041,0.15616964179104453,0,0.06016765079365061,8,"[211, 82, 302, 152, 235]"
42,2,1042,1042,0.08898818749999982,0,0.054172063492063605,8,"[211, 82, 302, 152, 235]"
43,2,1043,1043,0.1361575151515153,0,0.05794641269841305,7,"[211, 82, 302, 152, 235]"
44,2,1044,1044,0.08868903125000016,0,0.057588444444444664,9,"[211, 82, 302, 152, 235]"
45,2,1045,1045,0.15610710447761156,0,0.05269834920634919,10,"[211, 82, 302, 152, 235]"
46,2,1046,1046,0.15661579104477596,0,0.10708766153846117,4,"[211, 82, 302, 152, 235]"
47,2,1047,1047,0.13558457575757554,0,0.05754390476190463,6,"[211, 82, 302, 152, 235]"
48,2,1048,1048,0.15650271641791014,0,0.06047212698412663,4,"[211, 82, 302, 152, 235]"
49,2,1049,1049,0.13526884848484844,0,0.053657777777777915,14,"[211, 82, 302, 152, 235]"
0,3,1000,1000,0.08847069841269806,0,0.059390935483870866,7,"[211, 82, 302, 152, 235]"
1,3,1001,1001,0.08730368253968246,0,0.061943290322580724,5,"[211, 82, 302, 152, 235]"
2,3,1002,1002,0.11266890624999992,0,0.0598044516129036,4,"[211, 82, 302, 152, 235]"
3,3,1003,1003,0.08915536507936517,0,0.05516199999999982,6,"[211, 82, 302, 152, 235]"
